time,wx,wy,wz
0.0060231685638427734,0.34,0.43,-0.1
0.010255098342895508,0.45,0.53,0.07
0.020066022872924805,0.46,0.71,0.2
0.0301358699798584,0.37,1.0,0.29
0.04097485542297363,0.23,1.24,0.36
0.050256967544555664,0.1,1.39,0.38
0.08109903335571289,-0.58,2.0,0.08
0.08127713203430176,-0.58,2.0,0.08
0.08145403861999512,-0.58,2.0,0.08
0.09008407592773438,-1.0,2.2,0.02
0.10004591941833496,-1.32,2.05,0.03
0.11012387275695801,-1.48,1.79,0.1
0.12041807174682617,-1.48,1.58,0.23
0.13064098358154297,-1.31,1.6,0.38
0.14076495170593262,-1.14,1.6,0.51
0.15014195442199707,-0.98,1.19,0.66
0.18613219261169434,-0.3,-0.85,0.98
0.1863090991973877,-0.3,-0.85,0.98
0.18645310401916504,-0.3,-0.85,0.98
0.18966317176818848,-0.04,-1.16,1.04
0.19979119300842285,0.11,-0.93,1.07
0.21018099784851074,0.11,-0.39,1.02
0.2198488712310791,0.05,-0.09,0.87
0.23018383979797363,-0.04,-0.2,0.62
0.24033713340759277,-0.18,-0.49,0.33
0.24990200996398926,-0.35,-0.82,0.05
0.28474998474121094,-0.7,-0.53,-0.42
0.2849240303039551,-0.7,-0.53,-0.42
0.28507208824157715,-0.7,-0.53,-0.42
0.2893400192260742,-0.69,-0.3,-0.51
0.29954004287719727,-0.54,-0.27,-0.56
0.31011104583740234,-0.31,-0.24,-0.52
0.3194429874420166,-0.08,-0.08,-0.36
0.3301260471343994,0.07,-0.02,-0.11
0.33997201919555664,-0.02,-0.03,0.22
0.3495371341705322,-0.37,0.22,0.63
0.384613037109375,-1.56,1.51,2.13
0.38479018211364746,-1.56,1.51,2.13
0.3849351406097412,-1.56,1.51,2.13
0.38906097412109375,-1.36,1.59,2.18
0.3991990089416504,-0.68,1.27,1.83
0.40981006622314453,0.15,0.65,1.38
0.4196498394012451,0.78,-0.25,0.88
0.4296860694885254,1.08,-0.74,0.2
0.43967509269714355,0.89,-0.5,-0.18
0.4492008686065674,0.49,0.13,-0.19
0.48290395736694336,0.36,1.78,-0.15
0.4830811023712158,0.36,1.78,-0.15
0.48322606086730957,0.36,1.78,-0.15
0.4887411594390869,0.58,1.82,-0.26
0.4988129138946533,0.79,1.76,-0.39
0.5095641613006592,1.03,1.66,-0.39
0.5187780857086182,1.26,1.42,-0.26
0.529425859451294,1.47,1.41,-0.19
0.5398910045623779,1.62,1.53,-0.16
